SEX,AGE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
0,0,3690644,3669863,3570131,3683113
0,1,3731823,3719267,3675382,3588817
0,2,3826588,3807454,3725597,3693362
0,3,3918009,3885476,3813656,3742836
0,4,3999001,3987970,3891463,3830225
0,5,4026983,4023811,3993711,3907298
0,6,3997829,4012049,4029311,4008898
0,7,4003061,3999001,4017311,4043729
0,8,4022185,4006214,4004132,4031341
0,9,4062565,4050595,4011235,4017929
0,10,4158914,4135255,4055389,4024547
0,11,4266695,4223965,4139966,4068564
0,12,4397101,4385948,4228509,4152811
0,13,4377841,4378112,4390229,4240884
0,14,4284079,4305343,4382415,4403033
0,15,4255134,4266157,4309985,4396566
0,16,4300670,4296018,4271255,4325808
0,17,4250819,4263694,4302359,4291066
0,18,4489953,4410589,4270802,4326642
0,19,4763743,4696335,4416896,4295710
0,20,4567770,4635665,4701551,4438006
0,21,4438406,4453607,4639681,4723644
0,22,4337566,4364411,4458706,4663473
0,23,4302088,4312307,4370660,4483807
0,24,4337768,4316961,4319270,4396849
0,25,4397828,4386124,4323784,4346308
0,26,4483926,4472557,4392675,4351553
0,27,4569753,4543051,4478812,4419629
0,28,4661140,4646721,4548151,4503844
0,29,4733100,4715713,4650770,4571830
0,30,4698226,4731808,4719075,4672812
0,31,4584200,4597310,4733833,4739263
0,32,4506130,4516859,4598979,4751526
0,33,4461475,4466349,4517190,4614523
0,34,4482709,4476204,4465912,4530012
0,35,4442627,4474768,4474477,4476550
0,36,4396684,4381551,4471983,4483170
0,37,4458694,4448302,4378104,4478749
0,38,4417516,4444608,4443690,4383099
0,39,4396837,4384020,4438749,4446381
0,40,4321409,4367208,4377192,4438786
0,41,4159260,4188509,4359224,4375219
0,42,4101963,4094672,4179929,4356125
0,43,3997747,4044918,4086179,4175926
0,44,3924102,3909525,4035718,4081360
0,45,3946616,3956513,3899550,4029138
0,46,3881394,3883074,3945151,3891868
0,47,3968132,3936096,3870578,3935451
0,48,4179668,4127036,3921943,3859402
0,49,4417892,4373532,4110668,3908239
0,50,4268346,4306528,4354271,4094089
0,51,4134311,4145659,4286029,4334593
0,52,4044528,4058058,4124187,4265282
0,53,4094817,4073056,4035045,4102135
0,54,4162551,4133183,4047949,4011448
0,55,4340891,4293704,4105225,4021403
0,56,4405707,4395591,4261838,4075771
0,57,4400003,4398427,4360347,4228510
0,58,4431873,4414206,4360021,4322714
0,59,4396978,4406828,4372442,4318616
0,60,4322635,4330925,4361468,4327473
0,61,4253340,4249790,4282557,4313536
0,62,4227207,4214035,4198660,4231279
0,63,4084392,4138746,4159451,4144198
0,64,3955445,3953158,4081020,4101937
0,65,3849457,3861028,3894680,4020640
0,66,3694229,3725930,3800329,3833262
0,67,3563938,3572464,3663524,3737326
0,68,3444211,3438063,3508475,3598472
0,69,3210590,3272158,3371921,3441722
0,70,3120136,3123674,3206572,3305273
0,71,3034032,3041945,3056728,3141497
0,72,3033886,2977810,2970775,2988811
0,73,3015389,3135873,2901153,2898395
0,74,2159944,2222663,3048516,2823041
0,75,2132096,2131082,2153675,2959404
0,76,2096131,2071413,2059273,2083434
0,77,2055432,2088946,1994297,1986144
0,78,1765010,1787580,2003370,1915774
0,79,1587304,1603928,1706449,1916244
0,80,1451882,1467675,1523339,1623833
0,81,1369451,1362968,1385951,1441506
0,82,1262465,1273223,1278439,1303339
0,83,1130771,1136497,1185453,1193273
0,84,1051815,1048421,1049070,1097594
0,85,984026,981646,958715,962356
0,86,846137,847080,888707,870823
0,87,778626,775890,757939,798679
0,88,699984,696451,686264,672727
0,89,626147,616786,607343,601746
0,90,533653,537937,529879,524576
0,91,450973,447656,454793,450431
0,92,381864,379891,371721,380133
0,93,308570,309742,309520,304906
0,94,244215,243072,247267,248895
0,95,191033,191539,189457,194667
0,96,143521,143925,146016,145421
0,97,103432,104817,106833,109622
0,98,75443,73442,75765,78028
0,99,50934,51403,51201,53870
0,100,83506,81905,85717,88988
0,999,331449520,331511512,332031554,333287557
1,0,1886273,1876349,1825237,1882867
1,1,1906537,1899515,1879051,1834594
1,2,1957418,1946596,1902665,1888149
1,3,2005086,1988444,1949671,1911373
1,4,2044012,2038216,1991469,1958112
1,5,2056578,2055471,2041144,1999653
1,6,2047905,2054468,2058269,2048936
1,7,2044376,2043682,2057137,2065602
1,8,2060968,2050583,2046297,2064359
1,9,2083696,2078045,2053150,2053396
1,10,2130180,2118292,2080465,2059922
1,11,2184933,2162942,2120662,2087189
1,12,2253190,2246985,2165265,2127260
1,13,2242731,2243801,2249174,2171725
1,14,2193162,2204304,2245932,2255757
1,15,2179318,2184583,2206536,2253101
1,16,2202407,2200309,2187033,2214662
1,17,2178776,2184631,2203414,2197612
1,18,2281843,2245840,2187867,2216084
1,19,2429606,2392919,2248331,2200584
1,20,2341864,2373155,2394849,2258683
1,21,2278463,2285791,2373945,2405533
1,22,2230160,2243080,2286804,2384589
1,23,2209332,2214035,2244766,2297375
1,24,2227940,2216241,2216092,2255808
1,25,2253707,2248655,2218013,2227227
1,26,2295896,2290911,2249979,2229098
1,27,2336443,2324140,2292120,2260402
1,28,2373005,2369658,2324696,2301832
1,29,2409532,2399118,2369688,2334183
1,30,2388850,2404762,2398892,2378345
1,31,2330813,2337447,2403896,2406868
1,32,2291267,2295358,2336595,2410880
1,33,2271740,2273346,2293753,2342421
1,34,2283355,2279687,2271546,2298306
1,35,2258105,2275725,2277155,2275255
1,36,2232425,2224239,2272570,2279725
1,37,2261914,2256585,2220789,2274047
1,38,2239967,2252958,2252485,2221480
1,39,2227556,2221044,2248074,2251793
1,40,2186983,2210852,2215650,2245861
1,41,2099593,2113973,2204855,2212461
1,42,2066939,2064935,2107889,2201177
1,43,2011394,2034660,2058918,2103878
1,44,1973614,1967042,2028286,2054512
1,45,1985922,1989738,1960347,2022952
1,46,1950784,1951437,1982268,1954487
1,47,1992771,1975790,1943240,1975285
1,48,2102963,2075037,1966494,1935301
1,49,2226655,2203883,2064321,1956964
1,50,2150244,2168887,2191440,2053180
1,51,2078200,2084076,2155647,2178352
1,52,2029494,2036555,2070227,2141727
1,53,2046360,2036002,2021706,2055311
1,54,2075789,2062609,2020001,2006071
1,55,2153807,2131630,2044840,2002636
1,56,2184210,2178759,2111422,2025685
1,57,2173536,2173446,2156429,2089903
1,58,2187427,2177520,2149285,2132414
1,59,2162860,2168325,2151479,2123285
1,60,2124438,2127531,2140175,2123424
1,61,2078871,2077966,2097512,2110242
1,62,2060794,2054261,2046314,2065836
1,63,1981997,2008919,2020555,2012947
1,64,1906822,1906485,1973577,1985531
1,65,1848718,1854078,1870779,1936851
1,66,1764291,1779636,1817260,1833694
1,67,1693849,1698320,1741993,1779401
1,68,1631728,1628676,1659920,1703295
1,69,1509173,1538979,1589344,1620660
1,70,1463553,1464230,1500219,1550197
1,71,1419213,1421278,1424869,1461923
1,72,1418953,1390894,1379735,1385218
1,73,1418736,1472748,1346396,1337885
1,74,990752,1023912,1422088,1301548
1,75,975398,973938,984592,1370943
1,76,951881,940255,933436,944972
1,77,926779,941978,897201,892694
1,78,786163,797030,894670,853900
1,79,698836,705755,752752,847177
1,80,629585,636905,662444,708405
1,81,587987,586081,593668,619177
1,82,533795,537853,541848,550678
1,83,469489,472166,492781,498171
1,84,428564,427986,428219,448728
1,85,386945,386715,383941,385810
1,86,325739,326411,342784,342021
1,87,292631,292545,285449,301529
1,88,256306,254672,252535,247556
1,89,221963,219123,216246,216093
1,90,182473,184346,182937,181862
1,91,147500,147399,151151,151126
1,92,119613,119332,118512,122548
1,93,92340,92840,93906,94186
1,94,69192,69486,71435,73000
1,95,51312,51680,52123,54267
1,96,36960,36937,37859,38560
1,97,25413,25942,26294,27374
1,98,17179,16664,18008,18465
1,99,10948,11230,11077,12345
1,100,15133,14861,16171,17085
1,999,164502886,164525109,164722995,165283553
2,0,1804371,1793514,1744894,1800246
2,1,1825286,1819752,1796331,1754223
2,2,1869170,1860858,1822932,1805213
2,3,1912923,1897032,1863985,1831463
2,4,1954989,1949754,1899994,1872113
2,5,1970405,1968340,1952567,1907645
2,6,1949924,1957581,1971042,1959962
2,7,1958685,1955319,1960174,1978127
2,8,1961217,1955631,1957835,1966982
2,9,1978869,1972550,1958085,1964533
2,10,2028734,2016963,1974924,1964625
2,11,2081762,2061023,2019304,1981375
2,12,2143911,2138963,2063244,2025551
2,13,2135110,2134311,2141055,2069159
2,14,2090917,2101039,2136483,2147276
2,15,2075816,2081574,2103449,2143465
2,16,2098263,2095709,2084222,2111146
2,17,2072043,2079063,2098945,2093454
2,18,2208110,2164749,2082935,2110558
2,19,2334137,2303416,2168565,2095126
2,20,2225906,2262510,2306702,2179323
2,21,2159943,2167816,2265736,2318111
2,22,2107406,2121331,2171902,2278884
2,23,2092756,2098272,2125894,2186432
2,24,2109828,2100720,2103178,2141041
2,25,2144121,2137469,2105771,2119081
2,26,2188030,2181646,2142696,2122455
2,27,2233310,2218911,2186692,2159227
2,28,2288135,2277063,2223455,2202012
2,29,2323568,2316595,2281082,2237647
2,30,2309376,2327046,2320183,2294467
2,31,2253387,2259863,2329937,2332395
2,32,2214863,2221501,2262384,2340646
2,33,2189735,2193003,2223437,2272102
2,34,2199354,2196517,2194366,2231706
2,35,2184522,2199043,2197322,2201295
2,36,2164259,2157312,2199413,2203445
2,37,2196780,2191717,2157315,2204702
2,38,2177549,2191650,2191205,2161619
2,39,2169281,2162976,2190675,2194588
2,40,2134426,2156356,2161542,2192925
2,41,2059667,2074536,2154369,2162758
2,42,2035024,2029737,2072040,2154948
2,43,1986353,2010258,2027261,2072048
2,44,1950488,1942483,2007432,2026848
2,45,1960694,1966775,1939203,2006186
2,46,1930610,1931637,1962883,1937381
2,47,1975361,1960306,1927338,1960166
2,48,2076705,2051999,1955449,1924101
2,49,2191237,2169649,2046347,1951275
2,50,2118102,2137641,2162831,2040909
2,51,2056111,2061583,2130382,2156241
2,52,2015034,2021503,2053960,2123555
2,53,2048457,2037054,2013339,2046824
2,54,2086762,2070574,2027948,2005377
2,55,2187084,2162074,2060385,2018767
2,56,2221497,2216832,2150416,2050086
2,57,2226467,2224981,2203918,2138607
2,58,2244446,2236686,2210736,2190300
2,59,2234118,2238503,2220963,2195331
2,60,2198197,2203394,2221293,2204049
2,61,2174469,2171824,2185045,2203294
2,62,2166413,2159774,2152346,2165443
2,63,2102395,2129827,2138896,2131251
2,64,2048623,2046673,2107443,2116406
2,65,2000739,2006950,2023901,2083789
2,66,1929938,1946294,1983069,1999568
2,67,1870089,1874144,1921531,1957925
2,68,1812483,1809387,1848555,1895177
2,69,1701417,1733179,1782577,1821062
2,70,1656583,1659444,1706353,1755076
2,71,1614819,1620667,1631859,1679574
2,72,1614933,1586916,1591040,1603593
2,73,1596653,1663125,1554757,1560510
2,74,1169192,1198751,1626428,1521493
2,75,1156698,1157144,1169083,1588461
2,76,1144250,1131158,1125837,1138462
2,77,1128653,1146968,1097096,1093450
2,78,978847,990550,1108700,1061874
2,79,888468,898173,953697,1069067
2,80,822297,830770,860895,915428
2,81,781464,776887,792283,822329
2,82,728670,735370,736591,752661
2,83,661282,664331,692672,695102
2,84,623251,620435,620851,648866
2,85,597081,594931,574774,576546
2,86,520398,520669,545923,528802
2,87,485995,483345,472490,497150
2,88,443678,441779,433729,425171
2,89,404184,397663,391097,385653
2,90,351180,353591,346942,342714
2,91,303473,300257,303642,299305
2,92,262251,260559,253209,257585
2,93,216230,216902,215614,210720
2,94,175023,173586,175832,175895
2,95,139721,139859,137334,140400
2,96,106561,106988,108157,106861
2,97,78019,78875,80539,82248
2,98,58264,56778,57757,59563
2,99,39986,40173,40124,41525
2,100,68373,67044,69546,71903
2,999,166946634,166986403,167308559,168004004
